URL,Model Name,Model ID,Modified At,Size,Digest,Family,Families,Parameter Size,Quantization Level
http://218.44.230.6:11434/api/tags,phi3:latest,phi3:latest,2025-02-07T12:32:10.110385214+09:00,2176178913,4f222292793889a9a40a020799cfd28d53f3e01af25d48e06c5e708610fc47e9,phi3,phi3,3.8B,Q4_0
http://218.44.230.6:11434/api/tags,elyza-jp:latest,elyza-jp:latest,2025-02-06T17:28:28.201423433+09:00,4920734785,f1d469c0c373d1ccd0cc9d0ddc7ffa5f137b204bdce4fecc241c358c9a1a3b61,llama,llama,8.0B,Q4_K_M
http://162.43.93.137:11434/api/tags,smollm2:135m,smollm2:135m,2025-01-27T17:24:33.338512634+09:00,270898672,9077fe9d2ae1a4a41a868836b56b8163731a8fe16621397028c2c76f838c6907,llama,llama,134.52M,F16
http://162.43.93.137:11434/api/tags,llama3.1:latest,llama3.1:latest,2024-10-14T23:07:06.193320643+09:00,4661230766,42182419e9508c30c4b1fe55015f06b65f4ca4b9e28a744be55008d21998a093,llama,llama,8.0B,Q4_0
http://162.43.93.137:11434/api/tags,llama3.2:1b,llama3.2:1b,2024-10-13T21:13:48.774861724+09:00,1321098329,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,llama,llama,1.2B,Q8_0
http://140.117.176.85:11434/api/tags,qwen2.5:32b,qwen2.5:32b,2025-02-06T10:09:45.410857807+08:00,19851349669,9f13ba1299afea09d9a956fc6a85becc99115a6d596fae201a5487a03bdc4368,qwen2,qwen2,32.8B,Q4_K_M
http://140.117.176.85:11434/api/tags,deepseek-r1:32b,deepseek-r1:32b,2025-02-06T09:48:41.947288247+08:00,19851337640,38056bbcbb2d068501ecb2d5ea9cea9dd4847465f1ab88c4d4a412a9f7792717,qwen2,qwen2,32.8B,Q4_K_M
http://140.117.176.85:11434/api/tags,qwen2.5:1.5b,qwen2.5:1.5b,2025-01-02T06:10:45.300035244+08:00,986061892,65ec06548149b04c096a120e4a6da9d4017ea809c91734ea5631e89f96ddc57b,qwen2,qwen2,1.5B,Q4_K_M
http://140.117.176.85:11434/api/tags,qwen2.5:0.5b,qwen2.5:0.5b,2025-01-02T05:33:58.369823519+08:00,397821319,a8b0c51577010a279d933d14c2a8ab4b268079d44c5c8830c0a93900f1827c67,qwen2,qwen2,494.03M,Q4_K_M
http://140.117.176.85:11434/api/tags,gemma2:27b,gemma2:27b,2024-12-20T08:53:40.372274958+08:00,15628387458,53261bc9c192c1cb5fcc898dd3aa15da093f5ab6f08e17e48cf838bb1c58abfe,gemma2,gemma2,27.2B,Q4_0
http://140.117.176.85:11434/api/tags,markliou/breeze-7b:instruct-64k,markliou/breeze-7b:instruct-64k,2024-12-17T12:29:40.851232698+08:00,14976094116,054fba30a5e538dfab5a72740cf9323f0ac247b1450e3125bdaa0af2fac3a197,llama,llama,7B,F16
http://140.117.176.85:11434/api/tags,llama3.1:70b,llama3.1:70b,2024-12-06T06:47:04.578499099+08:00,42520412561,711a9e8463afd8edd580debd3b5c521521ebe55ba95bb80d576f4149969e07c6,llama,llama,70.6B,Q4_K_M
http://140.117.176.85:11434/api/tags,llama3.2-vision:90b,llama3.2-vision:90b,2024-12-04T16:24:16.746071637+08:00,54713024426,2ba4f038aab3b768d39b953684654570e03db0b0ce8bf96e27562c917ff98b36,mllama,"mllama,mllama",87.7B,Q4_K_M
http://140.117.176.85:11434/api/tags,qwen2.5:32b,qwen2.5:32b,2025-02-06T10:09:45.410857807+08:00,19851349669,9f13ba1299afea09d9a956fc6a85becc99115a6d596fae201a5487a03bdc4368,qwen2,qwen2,32.8B,Q4_K_M
http://140.117.176.85:11434/api/tags,deepseek-r1:32b,deepseek-r1:32b,2025-02-06T09:48:41.947288247+08:00,19851337640,38056bbcbb2d068501ecb2d5ea9cea9dd4847465f1ab88c4d4a412a9f7792717,qwen2,qwen2,32.8B,Q4_K_M
http://140.117.176.85:11434/api/tags,qwen2.5:1.5b,qwen2.5:1.5b,2025-01-02T06:10:45.300035244+08:00,986061892,65ec06548149b04c096a120e4a6da9d4017ea809c91734ea5631e89f96ddc57b,qwen2,qwen2,1.5B,Q4_K_M
http://140.117.176.85:11434/api/tags,qwen2.5:0.5b,qwen2.5:0.5b,2025-01-02T05:33:58.369823519+08:00,397821319,a8b0c51577010a279d933d14c2a8ab4b268079d44c5c8830c0a93900f1827c67,qwen2,qwen2,494.03M,Q4_K_M
http://140.117.176.85:11434/api/tags,gemma2:27b,gemma2:27b,2024-12-20T08:53:40.372274958+08:00,15628387458,53261bc9c192c1cb5fcc898dd3aa15da093f5ab6f08e17e48cf838bb1c58abfe,gemma2,gemma2,27.2B,Q4_0
http://140.117.176.85:11434/api/tags,markliou/breeze-7b:instruct-64k,markliou/breeze-7b:instruct-64k,2024-12-17T12:29:40.851232698+08:00,14976094116,054fba30a5e538dfab5a72740cf9323f0ac247b1450e3125bdaa0af2fac3a197,llama,llama,7B,F16
http://140.117.176.85:11434/api/tags,llama3.1:70b,llama3.1:70b,2024-12-06T06:47:04.578499099+08:00,42520412561,711a9e8463afd8edd580debd3b5c521521ebe55ba95bb80d576f4149969e07c6,llama,llama,70.6B,Q4_K_M
http://140.117.176.85:11434/api/tags,llama3.2-vision:90b,llama3.2-vision:90b,2024-12-04T16:24:16.746071637+08:00,54713024426,2ba4f038aab3b768d39b953684654570e03db0b0ce8bf96e27562c917ff98b36,mllama,"mllama,mllama",87.7B,Q4_K_M
http://126.62.94.203:11434/api/tags,codellama:latest,codellama:latest,2025-02-06T13:24:53.1632198+09:00,3825910662,8fdf8f752f6e80de33e82f381aba784c025982752cd1ae9377add66449d2225f,llama,None,7B,Q4_0
http://126.62.94.203:11434/api/tags,gemma:latest,gemma:latest,2025-02-06T13:24:21.1976824+09:00,5011853225,a72c7f4d0a15522df81486d13ce432c79e191bda2558d024fbad4362c4f7cbf8,gemma,gemma,9B,Q4_0
http://126.62.94.203:11434/api/tags,qwen2:latest,qwen2:latest,2025-02-06T13:24:11.7090595+09:00,4431401491,dd314f039b9d54d5553002c906ce50c9fe7242f73f0680abd04f01c8ecbd2755,qwen2,qwen2,7.6B,Q4_0
http://126.62.94.203:11434/api/tags,llama3.2:latest,llama3.2:latest,2025-02-06T10:43:42.643885+09:00,2019393189,a80c4f17acd55265feec403c7aef86be0c25983ab279d83f3bcd3abbcb5b8b72,llama,llama,3.2B,Q4_K_M
http://126.62.94.203:11434/api/tags,llama3.1:latest,llama3.1:latest,2025-02-06T10:42:41.7846525+09:00,4920753328,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,llama,llama,8.0B,Q4_K_M
http://126.62.94.203:11434/api/tags,mistral:latest,mistral:latest,2025-02-06T10:41:15.3156582+09:00,4113301824,f974a74358d62a017b37c6f424fcdf2744ca02926c4f952513ddf474b2fa5091,llama,llama,7.2B,Q4_0
http://126.62.94.203:11434/api/tags,phi4:latest,phi4:latest,2025-02-05T23:42:23.4730799+09:00,9053116391,ac896e5b8b34a1f4efa7b14d7520725140d5512484457fab45d2a4ea14c69dba,phi3,phi3,14.7B,Q4_K_M
http://126.62.94.203:11434/api/tags,deepseek-r1:8b,deepseek-r1:8b,2025-02-04T15:11:34.4511842+09:00,4920738407,28f8fd6cdc677661426adab9338ce3c013d7e69a5bea9e704b364171a5d61a10,llama,llama,8.0B,Q4_K_M
http://126.62.94.203:11434/api/tags,deepseek-r1:32b,deepseek-r1:32b,2025-02-03T16:46:08.8785426+09:00,19851337640,38056bbcbb2d068501ecb2d5ea9cea9dd4847465f1ab88c4d4a412a9f7792717,qwen2,qwen2,32.8B,Q4_K_M
http://126.62.94.203:11434/api/tags,deepseek-r1:latest,deepseek-r1:latest,2025-02-03T11:31:37.8850997+09:00,4683075271,0a8c266910232fd3291e71e5ba1e058cc5af9d411192cf88b6d30e92b6e73163,qwen2,qwen2,7.6B,Q4_K_M
http://140.122.184.117:11434/api/tags,llama3.2-vision:11b-instruct-fp16,llama3.2-vision:11b-instruct-fp16,2024-12-05T10:11:53.264066921+08:00,21497671974,bc693aa9f76554c4eedc25bc891201b9615eacb938c1e4c2ceab883487ecc449,mllama,"mllama,mllama",9.8B,F16
http://114.32.141.218:11434/api/tags,mistral-small:latest,mistral-small:latest,2025-02-06T11:28:21.794015998+08:00,14333921662,8039dd90c1138d772437a0779a33b7349efd5d9cca71edcd26e4dd463f90439d,llama,llama,23.6B,Q4_K_M
http://114.32.141.218:11434/api/tags,deepseek-r1:14b,deepseek-r1:14b,2025-01-24T11:49:45.51975228+08:00,8988112040,ea35dfe18182f635ee2b214ea30b7520fe1ada68da018f8b395b444b662d4f1a,qwen2,qwen2,14.8B,Q4_K_M
http://114.32.141.218:11434/api/tags,nomic-embed-text:latest,nomic-embed-text:latest,2024-07-04T10:52:01.165224663+08:00,274302450,0a109f422b47e3a30ba2b10eca18548e944e8a23073ee3f3e947efcf3c45e59f,nomic-bert,nomic-bert,137M,F16
http://114.32.141.218:11434/api/tags,gemma2:27b,gemma2:27b,2024-07-03T23:47:33.769209707+08:00,15628387569,371038893ee3aeecdd361850ba3a13c3f1f08f5e0c448ac11927ea15809b2b6b,gemma2,gemma2,27.2B,Q4_0
http://114.32.141.218:11434/api/tags,gemma2:latest,gemma2:latest,2024-07-03T17:51:49.444183557+08:00,5443152547,c19987e1e6e2a6170489e75835230d1c030da7cd1252931961f90fe1d28d198c,gemma2,gemma2,9.2B,Q4_0
http://140.122.184.117:11434/api/tags,llama3.2-vision:11b-instruct-fp16,llama3.2-vision:11b-instruct-fp16,2024-12-05T10:11:53.264066921+08:00,21497671974,bc693aa9f76554c4eedc25bc891201b9615eacb938c1e4c2ceab883487ecc449,mllama,"mllama,mllama",9.8B,F16
http://114.32.141.218:11434/api/tags,mistral-small:latest,mistral-small:latest,2025-02-06T11:28:21.794015998+08:00,14333921662,8039dd90c1138d772437a0779a33b7349efd5d9cca71edcd26e4dd463f90439d,llama,llama,23.6B,Q4_K_M
http://114.32.141.218:11434/api/tags,deepseek-r1:14b,deepseek-r1:14b,2025-01-24T11:49:45.51975228+08:00,8988112040,ea35dfe18182f635ee2b214ea30b7520fe1ada68da018f8b395b444b662d4f1a,qwen2,qwen2,14.8B,Q4_K_M
http://114.32.141.218:11434/api/tags,nomic-embed-text:latest,nomic-embed-text:latest,2024-07-04T10:52:01.165224663+08:00,274302450,0a109f422b47e3a30ba2b10eca18548e944e8a23073ee3f3e947efcf3c45e59f,nomic-bert,nomic-bert,137M,F16
http://114.32.141.218:11434/api/tags,gemma2:27b,gemma2:27b,2024-07-03T23:47:33.769209707+08:00,15628387569,371038893ee3aeecdd361850ba3a13c3f1f08f5e0c448ac11927ea15809b2b6b,gemma2,gemma2,27.2B,Q4_0
